ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance.mi.,Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature.F.,Wind_Chill.F.,Humidity...,Pressure.in.,Visibility.mi.,Wind_Direction,Wind_Speed.mph.,Precipitation.in.,Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-3635093,Source1,4,7/6/2017 17:01,7/6/2017 23:01,43.441875,-75.199802,43.43927,-75.20361,0.262,Closed at Woodhull Rd - Road closed due to accident.,State Route 28,Forestport,Oneida,NY,13338-1817,US,US/Eastern,KRME,7/6/2017 16:53,78.1,NA,71,29.97,10,ESE,8.1,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3581505,Source1,4,3/19/2017 18:27,3/20/2017 0:27,42.564548,-73.788905,42.608571,-73.783341,3.055,Closed at I-787/US-9W/Exit 23 - Road closed due to accident.,New York Trwy N,Selkirk,Albany,NY,12158,US,US/Eastern,KALB,3/19/2017 18:51,43,38.8,30,30.19,10,North,6.9,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3995516,Source1,2,10/4/2022 13:43,10/4/2022 17:51,34.79583621,-118.8574898,34.81324621,-118.8844498,1.946,Accident on Golden State Fwy N - I-5 N from Gorman School Rd (I-5) to Frazier Mountain Park Rd (I-5).,I-5,Lebec,Los Angeles,CA,93243,US,US/Pacific,KSDB,10/4/2022 13:53,82,82,14,25.52,NA,VAR,7,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3469260,Source1,2,11/10/2016 13:23,11/10/2016 19:23,34.494372,-79.324365,34.44091,-79.37645,4.738,At SC-9/SC-57/Exit 193 - Accident.,I-95 S,Hamer,Dillon,SC,29547,US,US/Eastern,KLBT,11/10/2016 12:54,63,NA,29,30.14,10,North,5.8,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3948432,Source1,2,11/10/2022 12:29,11/10/2022 19:54,34.077068,-117.296049,33.959541,-117.310962,8.165,Slow traffic on CA-60 E - Riverside Fwy S - I-215 S from Inland Center Dr (I-215) to Watkins Dr/Central Ave (I-215) due to accident.,I-215 S,San Bernardino,San Bernardino,CA,92408,US,US/Pacific,KSBD,11/10/2022 12:51,66,66,21,28.84,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3766825,Source1,2,1/17/2023 13:16,1/17/2023 14:55,35.392254,-119.145498,35.395063,-119.145588,0.194,Incident on ALLEN RD near HOUSE 3622 Drive with caution.,Allen Rd,Bakersfield,Kern,CA,93314-9242,US,US/Pacific,KBFL,1/17/2023 13:06,50,50,74,29.45,10,NW,3,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-4011559,Source1,2,41:00.0,11:00.0,25.809856,-80.337304,25.809717,-80.329374,0.493,Stationary traffic on FL-948 from NW 87th Ave (NW 36th St/Doral Blvd) to FL-826/Palmetto Expy (NW 36th St/Doral Blvd) due to accident.,NW 36th St,Doral,Miami-Dade,FL,33166-6622,US,US/Eastern,KMIA,11/17/2022 13:53,79,79,66,30.05,10,NNW,9,0,Mostly Cloudy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3466236,Source1,2,11/1/2016 15:56,11/1/2016 21:56,39.91525,-83.01611,39.91102,-83.02029,0.367,At OH-104/Frank Rd/Exit 104 - Accident.,I-71 S,Columbus,Franklin,OH,43223,US,US/Eastern,KTZR,11/1/2016 15:50,80.6,NA,42,30.06,10,WSW,13.8,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3205788,Source2,2,11/25/2017 10:35,11/25/2017 11:05,28.54903,-81.638306,NA,NA,0,Left lane blocked due to accident on FL-91 Northbound after Exit 272 FL-50 Colonial Dr.,W Colonial Dr,Winter Garden,Orange,FL,34787,US,US/Eastern,KORL,11/25/2017 10:53,62.1,NA,90,30.08,9,Calm,NA,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3112157,Source2,3,12/7/2017 19:09,12/7/2017 19:39,40.666718,-73.995903,NA,NA,0,1 right lane blocked due to accident on I-278 Brooklyn Queens Expy Eastbound at Exit 24 I-478.,Brooklyn Queens Expy,Brooklyn,Kings,NY,11215,US,US/Eastern,KJRB,12/7/2017 19:15,42.8,36.2,49,NA,10,WSW,12.7,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3359473,Source2,2,8/6/2017 2:55,8/6/2017 3:24,42.398159,-83.109512,NA,NA,0,Left lane blocked and left hand shoulder blocked due to accident on M-8 Davison Fwy Westbound at M-10 .,MI-10 N,Detroit,Wayne,MI,48238,US,US/Eastern,KDET,8/6/2017 2:53,62.1,NA,78,30.04,10,Calm,NA,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-3029637,Source2,3,2/23/2018 18:30,2/23/2018 19:15,38.670311,-77.2528,NA,NA,0,Accident on I-95 Northbound before Exits 160 160A 160B VA-123 Gordon Blvd.,Gordon Blvd,Woodbridge,Prince William,VA,22191,US,US/Eastern,KDAA,2/23/2018 18:56,45.9,NA,91,30.34,10,Calm,NA,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-3956917,Source1,2,12/13/2022 8:52,12/13/2022 10:13,36.307518,-86.69465,36.303537,-86.709193,0.855,Incident on TN-386 WB near MM 1 Expect long delays.,Vietnam Veterans Blvd,Goodlettsville,Davidson,TN,37072,US,US/Central,KBNA,12/13/2022 8:53,46,42,83,29.48,10,SE,7,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3021622,Source2,2,2/20/2018 9:25,2/20/2018 9:55,39.058041,-77.050018,NA,NA,0,Accident bus involved on MD-97 Georgia Ave at Randolph Rd.,Randolph Rd,Silver Spring,Montgomery,MD,20902-1310,US,US/Eastern,KCGS,2/20/2018 9:18,58.1,NA,83,30.37,10,South,3.5,NA,Scattered Clouds,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3968792,Source1,2,9/14/2022 12:07,9/14/2022 13:05,38.345739,-85.70586,38.345859,-85.706299,0.025,Accident on E 10th St at I-265 W.,E Highway 62,Jeffersonville,Clark,IN,47130,US,US/Eastern,KLOU,9/14/2022 11:53,76,76,64,29.58,10,NE,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3752073,Source1,2,7/11/2022 18:57,7/11/2022 20:12,37.547204,-77.456617,37.547479,-77.457306,0.042,Incident on FLOYD AVE near HOUSE 1302 Drive with caution.,N Brunswick St,Richmond,Richmond (City),VA,23220,US,US/Eastern,KRIC,7/11/2022 18:54,82,82,45,29.73,10,SSE,7,0,Fair,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Day,Day,Day,Day
A-3977088,Source1,2,04:47.0,22:49.0,36.78004861,-76.62477851,36.78381861,-76.63316851,0.532,Incident on PRUDEN BLVD near PRUDEN BLVD Drive with caution.,Kings Fork Rd,Suffolk,Suffolk (City),VA,23434-7476,US,US/Eastern,KSFQ,4/21/2022 6:55,37,37,95,30.44,10,NE,3,0,Fair,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3584266,Source1,2,3/28/2017 12:33,3/28/2017 18:33,42.30604,-88.00443,42.30604,-88.00443,0,At Peterson Rd - Accident.,W Peterson Rd,Libertyville,Lake,IL,60048,US,US/Central,KUGN,3/28/2017 12:55,42.1,34.9,85,30.16,10,NNE,13.8,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-3584411,Source1,2,3/28/2017 17:59,3/28/2017 23:59,30.25059,-81.57521,30.251081,-81.589084,0.829,At Belfort Rd - Accident.,J Turner Butler Blvd W,Jacksonville,Duval,FL,32216,US,US/Eastern,KCRG,3/28/2017 17:53,80.1,NA,54,29.95,10,SE,6.9,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3378562,Source2,3,8/15/2017 8:52,8/15/2017 9:36,30.40806,-91.101921,NA,NA,0,Accident on I-10 Eastbound at Exit 160 LA-3064 Essen Ln.,Essen Ln,Baton Rouge,East Baton Rouge,LA,70809,US,US/Central,KBTR,8/15/2017 8:53,84.9,NA,80,29.96,10,WSW,4.6,NA,Scattered Clouds,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3081401,Source2,2,1/23/2018 8:02,1/23/2018 8:32,41.882927,-87.96151,NA,NA,0,Accident on Frontage Rd at IL-83.,S State Route 83,Elmhurst,DuPage,IL,60126,US,US/Central,KORD,1/23/2018 7:51,30.9,20.7,85,29.7,10,NW,13.8,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3566850,Source1,2,2/14/2017 9:22,2/14/2017 15:22,42.0485,-91.69048,42.02868,-91.67335,1.627,Between Boyson Rd/Exit 25 and Blairs Ferry Rd/Exit 24 - Accident.,IA-27 S,Hiawatha,Linn,IA,52233,US,US/Central,KCID,2/14/2017 9:52,37.9,30.5,83,29.98,10,WNW,11.5,NA,Clear,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3202946,Source2,3,11/23/2017 12:23,11/23/2017 13:23,28.011946,-82.27813,NA,NA,0,Accident on I-4 Eastbound at mm 12.,I-4 E,Seffner,Hillsborough,FL,33584,US,US/Eastern,KVDF,11/23/2017 12:15,75.2,NA,78,29.83,10,South,9.2,NA,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-3371516,Source2,3,8/11/2017 17:43,8/11/2017 18:12,34.833031,-82.296837,NA,NA,0,Accident on I-85 Southbound at I-385 .,I-85 N,Greenville,Greenville,SC,29615,US,US/Eastern,KGMU,8/11/2017 17:46,75.9,NA,87,30.05,1.5,Calm,NA,1.46,Heavy Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
